"PU","NAME","WGMS_ID","SURVEY_DATE","REFERENCE_DATE","AREA","ANNUAL_BALANCE","ANNUAL_BALANCE_UNC","INVESTIGATOR","SPONS_AGENCY"
"AQ","ALBERICH","1062","19720118","19710206","1.36","20","","",""
"AQ","ALBERICH","1062","19730122","19720118","1.36","30","","",""
"AQ","ALBERICH","1062","19740122","19730122","1.36","-20","","",""
"AQ","ALBERICH","1062","19750110","19740122","1.36","10","","",""
"AQ","ANVERS I ICE CAP","3954","19669999","19659999","","44","","",""
"AQ","ANVERS I ICE CAP","3954","19679999","19669999","","44","","",""
"AQ","BAHIA DEL DIABLO","2665","20000229","19990301","12.9","-570","30","Skvarca P. (IAA) De Angelis H. (IAA) Ermolin E. (IAA)","IAA: División Glaciología Instituto Antártico Argentino"
"AQ","BAHIA DEL DIABLO","2665","20010228","20000301","12.9","-60","30","Skvarca P. (IAA) De Angelis H. (IAA) Ermolin E. (IAA)","IAA: División Glaciología Instituto Antártico Argentino"
"AQ","BAHIA DEL DIABLO","2665","20020228","20010301","12.9","-560","30","Skvarca P. (IAA) De Angelis H. (IAA) Ermolin E. (IAA)","IAA: División Glaciología Instituto Antártico Argentino"
"AQ","BAHIA DEL DIABLO","2665","20030228","20020301","12.9","-180","30","Skvarca P. (IAA) De Angelis H. (IAA) Ermolin E. (IAA)","IAA: División Glaciología Instituto Antártico Argentino"
"AQ","BAHIA DEL DIABLO","2665","20040229","20030301","12.9","-120","30","Skvarca P. (IAA) Ermolin E. (IAA)","IAA: División Glaciología Instituto Antártico Argentino"
"AQ","BAHIA DEL DIABLO","2665","20050228","20040301","12.9","-140","30","Skvarca P. (IAA) Ermolin E. (IAA)","IAA: División Glaciología Instituto Antártico Argentino"
"AQ","BAHIA DEL DIABLO","2665","20060228","20050301","12.9","-450","30","Skvarca P. (IAA) Ermolin E. (IAA)","IAA: División Glaciología Instituto Antártico Argentino"
"AQ","BAHIA DEL DIABLO","2665","20070228","20060301","12.9","-140","30","Skvarca P. (IAA) Ermolin E. (IAA)","IAA: División Glaciología Instituto Antártico Argentino"
"AQ","BAHIA DEL DIABLO","2665","20080229","20070301","12.9","-440","30","Skvarca P. (IAA) Ermolin E. (IAA) Marinsek S. (IAA)","IAA: División Glaciología Instituto Antártico Argentino"
"AQ","BAHIA DEL DIABLO","2665","20090228","20080301","12.9","-330","30","Skvarca P. (IAA) Ermolin E. (IAA) Marinsek S. (IAA)","IAA: División Glaciología Instituto Antártico Argentino"
"AQ","BAHIA DEL DIABLO","2665","20100228","20090301","12.9","370","30","Skvarca P. (IAA-DNA) Ermolin E. (IAA-DNA) Marinsek S. (IAA-DNA)","IAA-DNA: Instituto Antártico Argentino - Dirección Nacional del Antártico"
"AQ","BAHIA DEL DIABLO","2665","20110228","20100301","12.9","20","30","Skvarca P. (IAA-DNA) Ermolin E. (IAA-DNA) Marinsek S. (IAA-DNA)","IAA-DNA: Instituto Antártico Argentino - Dirección Nacional del Antártico"
"AQ","BAHIA DEL DIABLO","2665","20120228","20110301","12.9","-20","30","Marinsek S. (IAA-DG)","IAA-DG: Departamento de Glaciología Instituto Antártico Argentino"
"AQ","BAHIA DEL DIABLO","2665","20130228","20120301","12.9","100","30","Skvarca P. (IAA-DG) Ermolin E. (IAA-DG) Marinsek S. (IAA-DG) Seco J. (IAA-DG)","IAA-DG: Departamento de Glaciología Instituto Antártico Argentino"
"AQ","BAHIA DEL DIABLO","2665","20140228","20130301","12.9","190","10","Marinsek S. (IAA-DG) Ermolin E. (IAA-DG) Seco J. (IAA-DG)","IAA-DG: Departamento de Glaciología Instituto Antártico Argentino"
"AQ","BAHIA DEL DIABLO","2665","20150228","20140301","12.8999996","25","30","Marinsek S. (IAA-DG) Ermolin E. (IAA-DG) Seco J. (IAA-DG)","IAA-DG: Departamento de Glaciología Instituto Antártico Argentino"
"AQ","BAHIA DEL DIABLO","2665","20160228","20150301","12.9","-561","","Marinsek S. (IAA-DG) Seco J. (IAA-DG) Ermolin E. (IAA-DG)","IAA-DG: Departamento de Glaciología Instituto Antártico Argentino"
"AQ","BAHIA DEL DIABLO","2665","20170228","20160301","","-380","","Marinsek S. (IAA-DG) Seco J. (IAA-DG) Ermolin E. (IAA-DG)","IAA-DG: Departamento de Glaciología Instituto Antártico Argentino"
"AQ","BAHIA DEL DIABLO","2665","20180228","20170301","12.9","-130","30","Marinsek S. (IAA-DG) Seco J. (IAA-DG) Ermolin E. (IAA-DG)","IAA-DG: Departamento de Glaciología Instituto Antártico Argentino"
"AQ","BELLINGSHAUSEN","6833","19929999","19919999","","163","","",""
"AQ","BELLINGSHAUSEN","6833","20089999","20079999","11.0200004","-82","","B.R. Mavlyudov","Institut of Geography Russian Academy of Science"
"AQ","BELLINGSHAUSEN","6833","20099999","20089999","11.0200004","-694","","B.R. Mavlyudov","Institut of Geography Russian Academy of Science"
"AQ","BELLINGSHAUSEN","6833","20109999","20099999","11.0200004","375","","B.R. Mavlyudov","Institut of Geography Russian Academy of Science"
"AQ","BELLINGSHAUSEN","6833","20119999","20109999","11.0200004","93","","B.R. Mavlyudov","Institut of Geography Russian Academy of Science"
"AQ","BELLINGSHAUSEN","6833","20129999","20119999","11.0200004","-429","","B.R. Mavlyudov","Institut of Geography Russian Academy of Science"
"AQ","COMMONWEALTH","878","19949999","19939999","52.2000007","4","27","Fountain A. (PSU/DGG) Basagic H. (PSU/DGG) Niebuhr S. (PGC)","PGC: Polar Geospatial Center University of Minnesota PSU/DGG: Department of Geology and Geography Portland State University"
"AQ","COMMONWEALTH","878","19959999","19949999","52.2000007","52","29","Fountain A. (PSU/DGG) Basagic H. (PSU/DGG) Niebuhr S. (PGC)","PGC: Polar Geospatial Center University of Minnesota PSU/DGG: Department of Geology and Geography Portland State University"
"AQ","COMMONWEALTH","878","19969999","19959999","52.2000007","-21","25","Fountain A. (PSU/DGG) Basagic H. (PSU/DGG) Niebuhr S. (PGC)","PGC: Polar Geospatial Center University of Minnesota PSU/DGG: Department of Geology and Geography Portland State University"
"AQ","COMMONWEALTH","878","19979999","19969999","52.2000007","36","25","Fountain A. (PSU/DGG) Basagic H. (PSU/DGG) Niebuhr S. (PGC)","PGC: Polar Geospatial Center University of Minnesota PSU/DGG: Department of Geology and Geography Portland State University"
"AQ","COMMONWEALTH","878","19989999","19979999","52.2000007","31","32","Fountain A. (PSU/DGG) Basagic H. (PSU/DGG) Niebuhr S. (PGC)","PGC: Polar Geospatial Center University of Minnesota PSU/DGG: Department of Geology and Geography Portland State University"
"AQ","COMMONWEALTH","878","19999999","19989999","52.2000007","-16","33","Fountain A. (PSU/DGG) Basagic H. (PSU/DGG) Niebuhr S. (PGC)","PGC: Polar Geospatial Center University of Minnesota PSU/DGG: Department of Geology and Geography Portland State University"
"AQ","COMMONWEALTH","878","20009999","19999999","52.2000007","-10","29","Fountain A. (PSU/DGG) Basagic H. (PSU/DGG) Niebuhr S. (PGC)","PGC: Polar Geospatial Center University of Minnesota PSU/DGG: Department of Geology and Geography Portland State University"
"AQ","COMMONWEALTH","878","20019999","20009999","52.2000007","-4","25","Fountain A. (PSU/DGG) Basagic H. (PSU/DGG) Niebuhr S. (PGC)","PGC: Polar Geospatial Center University of Minnesota PSU/DGG: Department of Geology and Geography Portland State University"
"AQ","COMMONWEALTH","878","20029999","20019999","52.2000007","-135","110","Fountain A. (PSU/DGG) Basagic H. (PSU/DGG) Niebuhr S. (PGC)","PGC: Polar Geospatial Center University of Minnesota PSU/DGG: Department of Geology and Geography Portland State University"
"AQ","COMMONWEALTH","878","20039999","20029999","52.2000007","17","29","Fountain A. (PSU/DGG) Basagic H. (PSU/DGG) Niebuhr S. (PGC)","PGC: Polar Geospatial Center University of Minnesota PSU/DGG: Department of Geology and Geography Portland State University"
"AQ","COMMONWEALTH","878","20049999","20039999","52.2000007","-25","39","Fountain A. (PSU/DGG) Basagic H. (PSU/DGG) Niebuhr S. (PGC)","PGC: Polar Geospatial Center University of Minnesota PSU/DGG: Department of Geology and Geography Portland State University"
